##This file contains results for automated relation spotted by reading from NQS##

1	Give me all cosmonauts.	[]
2	In which country does the Ganges start?	[country, start]
3	When is the movie Worst Case Scenario going to be in cinemas in the Netherlands?	[movie, Worst, Case]
4	Which German cities have more than 250000 inhabitants?	[cities, German]
5	Who was John F. Kennedy's vice president?	[vice, president]
6	Who is the mayor of Tel Aviv?	[mayor]
7	How many students does the Free University in Amsterdam have?	[students]
8	What is the second highest mountain on Earth?	[mountain, highest, second]
9	Give me all professional skateboarders from Sweden.	[]
10	When was Alberta admitted as province?	[admitted, Alberta]
11	To which countries does the Himalayan mountain system extend?	[countries]
12	Give me a list of all bandleaders that play trumpet.	[]
13	Which countries have more than ten caves?	[countries]
14	What is the total amount of men and women serving in the FDNY?	[total, amount]
15	Who produces Orangina?	[produces, Person]
16	Who is the Formula 1 race driver with the most races?	[Formula]
17	Give me all world heritage sites designated within the past two years.	[]
18	Who is the youngest player in the Premier League?	[youngest, player]
19	Give me all members of Prodigy.	[]
20	What is the longest river?	[longest, river]
21	Does Breaking Bad have more episodes than Game of Thrones?	[epts], cepts], [Breaking, =]
22	Give me all cars that are produced in Germany.	[]
23	What were the main discoveries of the Mars rover Curiosity?	[discoveries, main]
24	Give me all people that were born in Vienna and died in Berlin.	[]
25	Is proinsulin a protein?	[epts], cepts], protein], =, [proinsulin]
26	How tall is Michael Jordan?	[tall]
27	What is the capital of Canada?	[capital]
28	Who is the governor of Wyoming?	[governor]
29	Do Prince Harry and Prince William have the same parents?	[epts], cepts], [Prince, =]
30	Who was the father of Queen Elizabeth II?	[far]
31	Which U.S. state has been admitted latest?	[admitted, U.S., state]
32	How many languages are spoken in Turkmenistan?	[languages, spoken]
33	Butch Otter is the governor of which U.S. state?	[U.S., state]
34	Give me all movies directed by Francis Ford Coppola.	[]
35	Give me all actors starring in movies directed by William Shatner.	[]
36	Are tree frogs a type of amphibian?	[epts], [tree, cepts], =, frogs]
37	What is the birth name of Angela Merkel?	[name, birth]
38	Give me all Methodist politicians.	[]
39	How often did Jane Fonda marry?	[marry]
40	Give me all Australian nonprofit organizations.	[]
41	In which military conflicts did Lawrence of Arabia participate?	[conflicts, military]
42	Who developed Minecraft?	[developed, Person]
43	What is the melting point of copper?	[melting, point]
44	Give me all sister cities of Brno.	[]
45	How many inhabitants does Maribor have?	[inhabitants]
46	Give me all companies in Munich.	[]
47	How tall is Amazon Eve?	[tall]
48	List all games by GMT.	[]
49	Who founded Intel?	[founded, Person]
50	Who is the husband of Amanda Palmer?	[husband]
51	Give me all breeds of the German Shepherd dog.	[]
52	Which cities does the Weser flow through?	[cities]
53	Which countries are connected by the Rhine?	[connected, countries]
54	Which professional surfers were born in Australia?	[born, surfers, professional]
55	What is the average temperature on Hawaii?	[average, temperature]
56	In which UK city are the headquarters of the MI6?	[city, UK]
57	Which weapons did Heckler & Koch develop?	[develop, weapons]
58	Who created Goofy?	[created, Person]
59	Was the Cuban Missile Crisis earlier than the Bay of Pigs Invasion?	[epts], Missile, cepts], Cuban, =, [the, Crisis]
60	Give me all islands that belong to Japan.	[]
61	Who invented the zipper?	[Person, invented]
62	What is the ruling party in Lisbon?	[ruling, party]
